artifact,role,source_run,source_file,notes
figures/01_global_screen_heatmaps.pdf,presentation,oneclick_global_space_enter_sweep_2026_07_26-18_07_04,plots/global_screen_heatmaps.pdf,Global six-by-six screening results
figures/02_comparison_dashboard.pdf,presentation,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,plots/comparison_dashboard.pdf,Headline held-out comparison
figures/03_per_user_completion_by_time.pdf,presentation,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,plots/per_user_completion_by_time.pdf,Per-user curves with timing profiles
figures/04_failure_reasons.pdf,presentation,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,plots/failure_reasons.pdf,Failure reason totals
tables/01_global_selection_summary.csv,headline table,oneclick_global_space_enter_sweep_2026_07_26-18_07_04,global_selection_summary.csv,Selected global cell
tables/02_confirmed_global_candidates.csv,supporting table,oneclick_global_space_enter_sweep_2026_07_26-18_07_04,confirmed_global_cell_summary.csv,Five confirmed finalist cells
tables/03_comparison_macro_summary.csv,headline table,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,macro_summary.csv,Equal-user system summary
tables/04_comparison_per_user_summary.csv,headline table,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,per_user_summary.csv,Per-user reliability and timing
tables/05_paired_summary.csv,headline table,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,paired_summary.csv,Mutually completed efficiency and paired outcomes
tables/06_failure_distribution.csv,headline table,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,failure_distribution.csv,Exact failure telemetry
tables/07_user_timing_profiles.csv,method table,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,user_bootstrap_profiles.csv,Historical timing profiles
tables/08_heldout_phrase_set.csv,method table,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,heldout_phrase_set.csv,Final evaluation phrases
configs/global_sweep_run_config.json,provenance,oneclick_global_space_enter_sweep_2026_07_26-18_07_04,run_config.json,Canonical global sweep configuration
configs/selected_comparison_run_config.json,provenance,nomon_oneclick_selected_global_comparison_2026_07_28-22_55_09,run_config.json,Canonical held-out comparison configuration
